YEAR,DOY,WS2M,RH2M,SRAD,air_min,air_max,SRAD_kj
2019,41,2.61,42.16,17.87,14.41,28.63,744.5833333
2019,42,2,34.08,18.3,11.02,28.44,762.5
2019,43,1.73,36.34,18.25,12.38,29.79,760.4166667
2019,44,1.68,36.73,18.15,13.22,30.73,756.25
2019,45,1.42,32.13,18.19,14.41,32.73,757.9166667
2019,46,1.5,34.51,18.16,15.48,33.58,756.6666667
2019,47,1.68,43.24,8.95,17.4,30.46,372.9166667
2019,48,1.81,54.27,16.89,17.82,29.46,703.75
2019,49,0.81,42.38,18.07,16.34,30.12,752.9166667
2019,50,1.31,52.67,18.49,17.51,32.66,770.4166667
2019,51,1.39,53.98,17.29,17.39,33.82,720.4166667
2019,52,1.3,45.7,18.26,19.03,34.51,760.8333333
2019,53,1.41,46.57,18.35,18.03,34.82,764.5833333
2019,54,1.52,55.43,18.4,20.58,35.31,766.6666667
2019,55,1.37,49.16,18.65,20.81,34.46,777.0833333
2019,56,1.22,71.14,3.85,21.43,29.62,160.4166667
2019,57,1.48,75.39,9.28,20.18,29.32,386.6666667
2019,58,2.03,77.42,12.24,20.58,29.05,510
2019,59,1.61,78.68,15.72,18.28,27.68,655
2019,60,1.68,63.36,19.52,15.77,26.46,813.3333333
2019,61,1.65,46.92,20.3,12.81,27.24,845.8333333
2019,62,1.62,48.92,19.59,13.56,28.13,816.25
2019,63,1.48,71.39,13.44,16.56,28.21,560
2019,64,2.46,83.64,11.4,20.97,29.08,475
2019,65,0.98,69.52,18.29,20.31,29.56,762.0833333
2019,66,0.83,65.03,18.61,19.71,29.54,775.4166667
2019,67,1.56,54.5,20.52,16.93,29.3,855
2019,68,1.66,59.47,20.5,15.42,30.03,854.1666667
2019,69,2.01,74,17.43,17.48,30.79,726.25
2019,70,1.34,74.37,17.42,19.83,31.53,725.8333333
2019,71,1.79,68.23,20.14,20.46,33.85,839.1666667
2019,72,1.46,63.53,19.46,20.51,34.75,810.8333333
2019,73,1.07,64.02,20,20.88,34.2,833.3333333
2019,74,1.56,65.56,17.83,21.32,34.52,742.9166667
2019,75,1.89,60.96,19.87,21.65,34.7,827.9166667
2019,76,1.24,59.89,20.77,21.33,34.8,865.4166667
2019,77,1.94,63.65,14.72,20.96,30.23,613.3333333
2019,78,2.17,64.3,20.31,20.53,32.48,846.25
2019,79,1.84,70.27,19.75,20.15,32.2,822.9166667
2019,80,2.34,68.21,21.32,20.57,34.42,888.3333333
2019,81,2.67,68.96,21.08,21.96,34.99,878.3333333
2019,82,1.69,63.54,21.52,22.46,34.99,896.6666667
2019,83,1.4,52.37,22.15,19.56,35.06,922.9166667
2019,84,1.24,51.28,22.56,19.01,35.62,940
2019,85,1.35,52.78,21.7,20.02,35.95,904.1666667
2019,86,1.85,52.35,21.04,19.92,33.76,876.6666667
2019,87,1.43,58.11,21.54,21.09,34.63,897.5
2019,88,2.02,62.09,21.76,20.88,35.25,906.6666667
2019,89,2.32,67.46,15.8,22.08,35.18,658.3333333
2019,90,2.99,68.37,21.31,22.93,36.22,887.9166667
2019,91,2.84,74.45,21.02,24.34,33.51,875.8333333
2019,92,2.51,66.45,18.78,23.4,36.12,782.5
2019,93,2.58,66.2,20.93,22.64,35.95,872.0833333
2019,94,2.64,69.08,20.57,22.67,35.75,857.0833333
